feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,seed
modified,LR,2500,26,59,2408,7,0.9736,0.7878787878787878,0.3058823529411765,0.4406779661016949,0.9971014492753624,0.6941176470588235,0.002898550724637681,0.4811116762627894,15
modified,GBC,2500,62,23,2409,6,0.9884,0.9117647058823529,0.7294117647058823,0.8104575163398693,0.9975155279503105,0.27058823529411763,0.002484472049689441,0.8098838963782949,15
modified,Traditional Voting,2500,43,42,2413,2,0.9824,0.9555555555555556,0.5058823529411764,0.6615384615384614,0.9991718426501035,0.49411764705882355,0.0008281573498964803,0.6884525430828006,15
modified,OR-Logic,2500,65,20,2390,25,0.982,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.989648033126294,0.23529411764705882,0.010351966873706004,0.7338603155306467,15
modified,SVM,2500,34,51,2408,7,0.9768,0.8292682926829268,0.4,0.5396825396825398,0.9971014492753624,0.6,0.002898550724637681,0.5666283631254835,16
modified,RF,2500,59,26,2406,9,0.986,0.8676470588235294,0.6941176470588235,0.7712418300653594,0.9962732919254659,0.3058823529411765,0.0037267080745341614,0.7691780310597236,16
modified,KNN,2500,31,54,2407,8,0.9752,0.7948717948717948,0.36470588235294116,0.5,0.9966873706004141,0.6352941176470588,0.0033126293995859213,0.5285182158633381,16
modified,LR,2500,22,63,2403,12,0.97,0.6470588235294118,0.25882352941176473,0.36974789915966383,0.9950310559006211,0.7411764705882353,0.004968944099378882,0.39720714142454655,16
modified,GBC,2500,59,26,2406,9,0.986,0.8676470588235294,0.6941176470588235,0.7712418300653594,0.9962732919254659,0.3058823529411765,0.0037267080745341614,0.7691780310597236,16
modified,Traditional Voting,2500,44,41,2408,7,0.9808,0.8627450980392157,0.5176470588235295,0.6470588235294119,0.9971014492753624,0.4823529411764706,0.002898550724637681,0.6599083845197986,16
modified,OR-Logic,2500,61,24,2390,25,0.9804,0.7093023255813954,0.7176470588235294,0.7134502923976608,0.989648033126294,0.2823529411764706,0.010351966873706004,0.7033165164221482,16
modified,SVM,2500,28,57,2414,1,0.9768,0.9655172413793104,0.32941176470588235,0.49122807017543857,0.9995859213250518,0.6705882352941176,0.00041407867494824016,0.5568336883549351,17
modified,RF,2500,67,18,2411,4,0.9912,0.9436619718309859,0.788235294117647,0.8589743589743589,0.998343685300207,0.21176470588235294,0.0016563146997929607,0.8581583542862818,17
